Date;NK
10/03/2004;1360
10/03/2004;1292
10/03/2004;1402
10/03/2004;1376
10/03/2004;1272
10/03/2004;1197
11/03/2004;1185
11/03/2004;1136
11/03/2004;1094
11/03/2004;1010
11/03/2004;1011
11/03/2004;1066
11/03/2004;1052
11/03/2004;1144
11/03/2004;1333
11/03/2004;1351
11/03/2004;1233
11/03/2004;1179
11/03/2004;1236
11/03/2004;1286
11/03/2004;1371
11/03/2004;1310
11/03/2004;1292
11/03/2004;1383
11/03/2004;1581
11/03/2004;1776
11/03/2004;1640
11/03/2004;1313
11/03/2004;965
11/03/2004;913
12/03/2004;1080
12/03/2004;1044
12/03/2004;988
12/03/2004;889
12/03/2004;831
12/03/2004;847
12/03/2004;927
12/03/2004;1091
12/03/2004;1587
12/03/2004;1545
12/03/2004;1350
12/03/2004;1263
12/03/2004;1206
12/03/2004;1252
12/03/2004;1287
12/03/2004;1353
12/03/2004;1309
12/03/2004;1274
12/03/2004;1510
12/03/2004;1525
12/03/2004;1843
12/03/2004;1598
12/03/2004;1484
12/03/2004;1677
13/03/2004;1280
13/03/2004;1196
13/03/2004;1184
13/03/2004;1172
13/03/2004;1147
13/03/2004;978
13/03/2004;1100
13/03/2004;1112
13/03/2004;1336
13/03/2004;1408
13/03/2004;1447
13/03/2004;1542
13/03/2004;1451
13/03/2004;1328
13/03/2004;1207
13/03/2004;1240
13/03/2004;1306
13/03/2004;1326
13/03/2004;1473
13/03/2004;1609
13/03/2004;1611
13/03/2004;1621
13/03/2004;1444
13/03/2004;1418
14/03/2004;1534
14/03/2004;1484
14/03/2004;1367
14/03/2004;1344
14/03/2004;1130
14/03/2004;1062
14/03/2004;1076
14/03/2004;1028
14/03/2004;1155
14/03/2004;1235
14/03/2004;1332
14/03/2004;1445
14/03/2004;1416
14/03/2004;1281
14/03/2004;1207
14/03/2004;1258
14/03/2004;1458
14/03/2004;1438
14/03/2004;1478
14/03/2004;1808
14/03/2004;1898
14/03/2004;1560
14/03/2004;1324
14/03/2004;1349
15/03/2004;1239
15/03/2004;1239
15/03/2004;1224
15/03/2004;1078
15/03/2004;1078
15/03/2004;1075
15/03/2004;1157
15/03/2004;1314
15/03/2004;1797
15/03/2004;1961
15/03/2004;1771
15/03/2004;1564
15/03/2004;1430
15/03/2004;1417
15/03/2004;1400
15/03/2004;1317
15/03/2004;1318
15/03/2004;1445
15/03/2004;1917
15/03/2004;2040
15/03/2004;1895
15/03/2004;1595
15/03/2004;1439
15/03/2004;1142
16/03/2004;1304
16/03/2004;1074
16/03/2004;968
16/03/2004;929
16/03/2004;941
16/03/2004;937
16/03/2004;1017
16/03/2004;1171
16/03/2004;1541
16/03/2004;1539
16/03/2004;1735
16/03/2004;1571
16/03/2004;1452
16/03/2004;1579
16/03/2004;1466
16/03/2004;1280
16/03/2004;1407
16/03/2004;1389
16/03/2004;1447
16/03/2004;1551
16/03/2004;1474
16/03/2004;1800
16/03/2004;1379
16/03/2004;1201
17/03/2004;1205
17/03/2004;1072
17/03/2004;998
17/03/2004;933
17/03/2004;883
17/03/2004;869
17/03/2004;891
17/03/2004;1173
17/03/2004;1587
17/03/2004;1852
17/03/2004;1522
17/03/2004;1438
17/03/2004;1393
17/03/2004;1452
17/03/2004;1389
17/03/2004;1207
17/03/2004;1365
17/03/2004;1247
17/03/2004;1557
17/03/2004;1973
17/03/2004;1975
17/03/2004;1795
17/03/2004;1444
17/03/2004;1488
18/03/2004;1371
18/03/2004;1161
18/03/2004;1064
18/03/2004;970
18/03/2004;954
18/03/2004;931
18/03/2004;938
18/03/2004;1166
18/03/2004;1643
18/03/2004;1934
18/03/2004;1617
18/03/2004;1473
18/03/2004;1379
18/03/2004;1385
18/03/2004;1379
18/03/2004;1322
18/03/2004;1496
18/03/2004;1409
18/03/2004;1513
18/03/2004;1667
18/03/2004;1667
18/03/2004;1430
18/03/2004;1333
18/03/2004;1262
19/03/2004;1287
19/03/2004;1134
19/03/2004;999
19/03/2004;961
19/03/2004;934
19/03/2004;913
19/03/2004;969
19/03/2004;1182
19/03/2004;1740
19/03/2004;1819
19/03/2004;1427
19/03/2004;1390
19/03/2004;1283
19/03/2004;1304
19/03/2004;1364
19/03/2004;1410
19/03/2004;1476
19/03/2004;1522
19/03/2004;1442
19/03/2004;1469
19/03/2004;1467
19/03/2004;1421
19/03/2004;1175
19/03/2004;1215
20/03/2004;1127
20/03/2004;1090
20/03/2004;1017
20/03/2004;997
20/03/2004;945
20/03/2004;956
20/03/2004;966
20/03/2004;1064
20/03/2004;1300
20/03/2004;1348
20/03/2004;1425
20/03/2004;1474
20/03/2004;1490
20/03/2004;1495
20/03/2004;1376
20/03/2004;1305
20/03/2004;1283
20/03/2004;1392
20/03/2004;1452
20/03/2004;1633
20/03/2004;1625
20/03/2004;1535
20/03/2004;1323
20/03/2004;1309
21/03/2004;1456
21/03/2004;1300
21/03/2004;1203
21/03/2004;1195
21/03/2004;1117
21/03/2004;1062
21/03/2004;947
21/03/2004;1065
21/03/2004;1155
21/03/2004;1220
21/03/2004;1301
21/03/2004;1279
21/03/2004;1267
21/03/2004;1239
21/03/2004;1128
21/03/2004;1243
21/03/2004;1208
21/03/2004;1306
21/03/2004;1546
21/03/2004;1501
21/03/2004;1605
21/03/2004;1316
21/03/2004;1195
21/03/2004;1211
22/03/2004;1161
22/03/2004;1095
22/03/2004;897
22/03/2004;842
22/03/2004;854
22/03/2004;845
22/03/2004;942
22/03/2004;1090
22/03/2004;1514
22/03/2004;1379
22/03/2004;1074
22/03/2004;1090
22/03/2004;1110
22/03/2004;1102
22/03/2004;1100
22/03/2004;1094
22/03/2004;1076
22/03/2004;1152
22/03/2004;1407
22/03/2004;1438
22/03/2004;1425
22/03/2004;1279
22/03/2004;1132
22/03/2004;1006
23/03/2004;982
23/03/2004;969
23/03/2004;941
23/03/2004;892
23/03/2004;855
23/03/2004;834
23/03/2004;909
23/03/2004;1061
23/03/2004;1441
23/03/2004;1498
23/03/2004;1343
23/03/2004;1308
23/03/2004;1209
23/03/2004;1310
23/03/2004;1171
23/03/2004;1112
23/03/2004;1132
23/03/2004;1225
23/03/2004;1065
23/03/2004;1236
23/03/2004;1309
23/03/2004;1089
23/03/2004;1000
23/03/2004;1041
24/03/2004;1045
24/03/2004;997
24/03/2004;948
24/03/2004;878
24/03/2004;908
24/03/2004;892
24/03/2004;954
24/03/2004;1045
24/03/2004;1383
24/03/2004;1597
24/03/2004;1318
24/03/2004;1138
24/03/2004;1098
24/03/2004;1118
24/03/2004;1170
24/03/2004;1112
24/03/2004;1390
24/03/2004;1353
24/03/2004;1260
24/03/2004;1501
24/03/2004;1273
24/03/2004;1179
24/03/2004;1047
24/03/2004;973
25/03/2004;997
25/03/2004;970
25/03/2004;902
25/03/2004;921
25/03/2004;858
25/03/2004;878
25/03/2004;893
25/03/2004;1038
25/03/2004;1320
25/03/2004;1353
25/03/2004;1133
25/03/2004;1066
25/03/2004;1027
25/03/2004;1106
25/03/2004;1038
25/03/2004;1084
25/03/2004;1105
25/03/2004;1102
25/03/2004;1240
25/03/2004;1443
25/03/2004;1389
25/03/2004;1183
25/03/2004;1014
25/03/2004;979
26/03/2004;1048
26/03/2004;1024
26/03/2004;974
26/03/2004;862
26/03/2004;925
26/03/2004;952
26/03/2004;1005
26/03/2004;1122
26/03/2004;1351
26/03/2004;1408
26/03/2004;1304
26/03/2004;1207
26/03/2004;1099
26/03/2004;1106
26/03/2004;1009
26/03/2004;962
26/03/2004;1093
26/03/2004;1180
26/03/2004;1168
26/03/2004;1168
26/03/2004;1140
26/03/2004;1001
26/03/2004;953
26/03/2004;972
